N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
146,5064788,B,A,A,A,A,B,B,B,C,A,B,A,A,B,B,A,B,B,A,C,A,A,B,C
147,19831868,D,C,B,D,D,C,A,A,B,B,D,A,A,C,B,A,B,B,A,B,A,C,C,C
148,5064801,A,C,C,D,A,D,A,B,D,B,A,B,A,A,A,A,C,A,A,C,B,A,C,D
149,20113210,D,C,B,C,A,C,A,B,D,A,A,D,C,C,A,A,C,B,D,C,B,A,D,D
150,20212508,D,C,B,D,A,B,B,A,B,A,D,B,D,C,B,A,B,B,C,B,D,C,C,B
151,20279579,D,A,A,C,B,A,A,A,A,A,A,A,A,B,B,A,A,B,C,A,A,C,A,A
152,19755628,A,A,B,D,A,B,A,A,B,B,D,,,,,,,,,,,,,
154,19764605,A,A,A,A,B,A,,,,,,A,,,,,,,,,,,,
155,10299938,A,A,B,C,D,C,A,A,A,B,A,D,D,B,D,A,A,C,D,D,C,D,C,A
156,19855743,B,A,B,C,A,D,A,D,B,A,C,B,B,D,C,C,C,B,A,A,B,B,C,D
157,20125684,A,C,C,B,C,A,B,A,A,B,C,C,A,C,C,C,A,C,B,B,B,C,A,B
158,7321245,C,B,B,A,D,B,A,D,C,C,D,A,D,C,D,A,B,C,C,B,D,C,C,B
159,19832458,D,C,B,A,D,B,A,D,B,B,D,A,D,C,D,A,B,B,A,B,D,C,C,B
160,20156704,C,C,B,C,B,D,A,C,B,B,C,A,A,B,B,A,B,B,C,A,C,D,D,C
161,3635023,A,C,C,D,B,C,D,A,C,B,B,D,D,C,D,D,D,C,D,C,C,C,D,C
162,6136638,A,C,C,A,D,B,B,C,A,D,B,C,D,B,B,A,D,A,B,C,D,A,C,A
163,19842734,A,B,C,A,D,C,B,C,C,B,C,D,C,A,B,D,C,A,D,A,D,D,B,A
164,19834445,A,C,C,B,B,D,C,A,C,B,D,C,B,C,C,A,A,B,D,B,C,C,D,C
165,19748154,C,B,C,D,C,B,B,B,B,B,C,B,D,D,A,B,A,C,D,B,D,D,C,A
166,20125637,,,,,,,,,,,,,,,,,,,,,,,,
167,19871756,C,B,B,C,B,B,B,A,A,C,B,A,B,C,A,C,C,A,C,B,B,B,C,C
168,19837542,A,A,A,A,B,B,A,B,B,A,D,A,B,B,A,B,B,C,A,A,A,A,A,A
169,20125666,C,B,B,A,B,A,B,C,C,C,C,C,A,D,A,B,A,B,C,D,D,A,C,B
170,20107888,C,A,C,A,B,A,A,A,B,A,A,B,B,A,A,C,B,B,C,B,B,B,A,B
171,19830907,D,D,B,D,C,A,C,A,D,C,A,D,D,C,B,D,D,C,C,D,C,D,C,D
172,19953581,C,C,D,C,D,D,C,A,C,A,C,B,B,A,D,A,C,D,A,D,D,C,B,A
173,19848224,A,A,B,A,B,D,B,C,A,A,B,A,D,C,A,A,A,C,A,B,A,C,A,B
174,19837566,A,B,B,C,A,C,B,B,A,B,C,C,A,B,D,B,B,A,D,B,A,A,B,A
175,19836803,A,B,D,B,D,B,A,B,D,C,D,D,A,A,D,B,C,D,A,D,B,D,A,A
176,20206905,A,C,D,A,C,C,B,A,D,C,B,A,C,A,C,A,A,D,B,D,B,B,A,D
177,2377686,A,D,A,C,A,A,A,A,D,C,D,D,B,D,B,D,A,B,D,A,D,A,A,D
178,19840309,A,A,A,A,D,A,D,B,B,B,D,A,A,B,B,B,B,A,C,D,C,C,C,B
179,6867985,C,B,A,A,D,B,C,B,D,A,A,D,A,D,B,A,C,D,B,C,D,A,B,C
180,19835577,B,C,C,B,D,B,A,D,B,A,D,A,D,D,B,B,D,B,C,B,B,C,C,B
181,19859839,D,C,A,C,A,B,D,D,B,B,A,A,D,A,C,D,B,C,B,A,B,D,C,A
182,20194944,D,C,B,D,D,B,A,D,C,B,D,A,D,C,B,A,B,B,A,B,D,C,C,B
183,20052939,B,B,B,A,D,A,A,A,C,B,A,C,A,C,B,B,C,B,B,B,B,C,B,D
184,19927730,B,B,B,B,C,C,A,A,A,C,B,B,C,A,A,A,B,A,B,C,C,C,A,B
185,7280823,C,A,A,A,B,B,A,A,B,D,B,D,A,B,B,A,B,B,A,B,A,C,C,C
186,19851978,A,A,C,A,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,D,A
187,20113961,C,B,B,A,D,D,B,D,D,B,C,D,A,B,A,D,B,B,,,,,,B
188,19827155,C,A,C,C,C,D,C,C,C,B,D,C,D,A,C,D,B,B,D,B,C,D,B,D
189,19920528,A,C,D,C,D,D,A,D,C,A,C,C,C,B,B,A,C,B,C,C,A,D,A,B
190,19831717,D,B,C,C,B,D,C,B,C,B,C,D,B,C,C,B,B,B,B,A,C,C,A,B
191,10414057,A,B,D,B,A,D,C,A,B,B,A,D,D,D,D,A,A,B,A,B,A,C,C,A
192,10358480,A,B,A,B,C,C,A,C,A,A,C,D,D,D,C,C,A,C,D,B,A,C,C,C
195,19832513,A,B,B,A,A,B,A,C,B,D,D,A,A,B,B,A,B,A,B,B,C,A,D,D
196,19833094,B,A,C,A,A,A,B,A,A,D,A,A,A,B,B,A,B,A,B,C,A,A,B,A
197,19833308,C,C,A,A,D,B,A,D,B,D,C,A,D,A,C,A,B,B,C,C,B,C,B,B
198,19830477,B,D,A,C,B,A,C,D,A,D,B,C,B,A,D,A,C,C,C,D,C,B,A,B
199,19832744,B,C,B,A,A,B,A,A,B,B,A,A,A,D,B,A,B,B,D,B,D,C,C,A
200,20360003,C,A,B,A,D,A,A,B,B,A,A,A,A,A,A,D,B,B,C,B,A,A,C,A
201,5065295,D,B,B,A,B,A,A,B,C,B,C,A,D,C,B,A,B,A,B,D,C,A,C,C
202,4657815,C,C,B,D,C,B,C,C,C,D,B,D,C,B,D,D,D,D,D,C,D,D,C,B
203,19920618,A,B,A,C,D,B,D,D,A,C,D,B,B,A,B,A,A,A,B,D,C,A,A,C
204,19831099,C,C,A,A,B,B,A,B,B,A,A,A,C,D,B,B,A,A,B,B,A,A,C,A
205,19831098,C,C,B,A,D,B,A,A,B,D,D,A,D,C,A,A,B,B,A,B,D,A,C,B
206,6867887,A,C,C,D,A,D,B,B,C,D,B,C,D,A,A,B,D,D,D,C,A,A,B,A
207,19899764,B,C,D,B,D,C,A,A,A,C,C,B,D,A,B,A,C,D,B,C,D,C,A,D
208,19838926,D,B,C,D,D,C,C,A,B,A,B,A,C,A,A,C,A,D,A,C,B,C,C,B
209,19838940,A,B,C,D,D,C,B,B,C,C,D,D,D,C,D,D,D,D,B,D,D,C,B,C
210,19838949,C,D,D,D,D,C,B,C,A,B,A,A,A,D,D,C,A,D,C,B,A,B,C,C
211,19879502,C,B,A,A,D,B,A,A,D,C,B,C,B,D,B,C,B,A,C,D,A,A,B,D
212,19831802,B,C,A,C,A,B,B,A,B,C,A,C,B,B,B,A,A,A,A,A,B,C,C,A
213,20277585,D,C,B,A,D,B,A,D,B,D,D,A,D,A,B,A,B,B,A,B,D,C,C,D
214,19862691,A,C,C,B,B,A,C,D,A,D,A,C,D,C,B,A,C,C,C,A,B,C,A,C
216,19881569,B,B,C,D,D,C,C,D,A,D,A,A,D,D,C,B,A,A,C,C,C,D,B,A
217,19748204,D,A,B,A,D,D,A,D,B,B,A,B,D,A,C,B,A,B,D,A,D,B,C,D
218,19708531,B,B,C,A,A,B,A,C,A,B,A,A,B,B,C,A,B,B,B,A,C,A,B,A
219,3102430,C,B,B,D,D,B,D,B,B,C,D,A,D,C,B,D,B,B,A,C,D,C,C,C
220,20156861,A,D,B,C,D,C,A,D,A,B,B,C,A,D,A,B,C,C,A,C,A,B,D,A
221,20141867,B,C,D,B,D,C,B,A,B,C,B,D,C,D,C,B,C,B,B,C,B,D,C,D
222,4301576,C,C,A,D,D,D,C,C,C,D,B,C,D,C,D,C,B,C,B,C,B,D,C,B
223,19876796,A,B,B,D,D,C,A,D,C,C,D,D,C,A,D,C,D,D,C,C,D,C,A,D
224,19832475,D,D,A,C,A,A,D,A,D,B,B,C,C,D,D,B,D,B,D,A,B,C,B,B
226,20029480,C,B,A,B,B,A,B,C,B,A,C,C,A,B,B,C,B,A,A,A,B,B,A,B
227,6110025,B,C,D,D,B,D,C,B,B,B,C,C,D,B,C,B,C,C,C,D,C,D,D,C
228,19827763,A,A,A,C,B,D,A,C,D,D,C,D,D,C,C,D,D,B,C,A,C,C,C,A
229,19827743,A,C,C,A,D,D,C,C,C,A,A,C,C,B,D,A,B,C,B,D,C,D,D,D
230,10342966,D,A,B,A,D,B,A,A,B,D,A,B,B,A,C,A,B,A,A,A,A,A,A,A
231,19831685,B,A,B,A,A,C,C,A,A,A,D,B,A,A,B,B,C,D,C,B,A,C,C,A
232,19842785,C,C,A,A,A,D,B,D,A,C,A,B,A,D,D,A,B,B,C,A,D,A,C,D
233,10301819,A,B,A,C,D,D,A,D,A,C,D,A,D,D,C,C,D,C,D,D,D,A,D,A
235,10329500,A,B,C,A,B,B,B,C,A,A,A,C,A,D,A,D,A,A,A,A,A,A,A,C
236,10339153,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
237,20023335,D,C,D,A,B,B,C,C,A,A,B,D,B,D,D,B,A,C,B,A,D,A,C,C
238,20153205,A,D,A,A,A,B,A,A,D,A,C,D,D,C,A,C,A,A,D,B,C,D,C,D
239,20153299,B,A,C,C,D,D,C,B,C,B,C,D,D,C,B,D,C,D,C,D,C,D,D,C
240,19986300,A,A,B,B,A,A,A,A,A,B,B,A,A,B,A,C,A,A,B,A,B,C,B,A
241,19877265,A,B,A,A,A,B,D,B,B,D,D,B,A,B,D,B,B,A,C,B,D,B,C,A
242,19836164,D,B,C,D,C,A,B,C,B,A,D,B,C,A,D,B,C,C,,D,,,B,
243,19877299,A,B,B,A,B,D,D,D,B,C,D,A,D,A,C,B,A,D,A,D,B,C,A,D
244,7281530,C,B,B,D,C,B,B,C,C,C,D,A,A,A,B,B,C,D,C,B,C,D,C,B
245,20257191,D,A,C,B,D,B,B,C,B,D,C,D,C,A,C,A,C,A,C,B,A,A,D,D
246,20257183,D,B,B,C,C,C,C,A,B,D,D,A,D,A,B,D,C,A,B,C,C,B,D,D
247,19878664,C,B,C,A,D,D,A,A,B,A,B,A,D,A,A,A,A,B,D,B,D,C,D,B
248,19828916,A,B,A,A,C,B,C,A,B,A,B,A,C,A,A,B,B,B,A,B,A,B,A,A
249,20168574,C,A,B,D,A,A,A,B,D,D,D,D,D,D,D,A,A,A,A,B,C,C,D,C
250,20178786,B,B,D,C,D,A,B,B,B,A,A,A,D,C,B,B,B,B,C,A,B,B,C,A
251,20047251,B,C,A,A,D,B,A,D,D,D,A,C,B,B,B,B,C,D,D,C,B,C,D,A
252,19933809,D,B,D,C,D,B,C,B,D,C,B,A,D,B,A,D,C,C,D,B,B,A,C,A
253,19829626,D,B,B,A,D,D,A,D,C,B,A,B,A,C,D,A,B,C,D,B,B,C,A,A
254,19933858,A,C,B,B,B,B,A,A,C,B,A,C,A,C,B,B,A,B,D,B,B,C,C,B
255,19933871,D,A,B,A,D,B,A,D,A,D,A,C,D,B,B,A,A,A,C,A,A,D,A,D
256,19838333,A,B,B,A,A,B,C,A,C,A,B,B,D,A,A,D,B,C,A,B,C,D,B,B
257,19894185,A,B,C,B,A,C,D,A,D,A,D,B,D,B,D,A,A,D,C,A,A,C,B,B
258,5820523,A,C,A,C,A,B,B,B,A,B,D,A,D,B,B,B,B,A,C,B,B,B,B,A
259,19829130,A,D,C,A,A,C,D,C,A,A,C,B,A,C,B,D,C,A,A,A,A,C,C,C
260,19838357,A,A,B,A,B,C,A,B,A,A,A,C,C,A,C,B,C,B,D,C,D,C,A,B
261,20122631,A,B,B,D,C,C,D,C,A,C,C,C,A,D,D,D,C,B,C,C,C,D,D,D
262,19869628,B,A,B,A,A,A,A,C,A,D,D,C,D,D,B,A,B,B,C,A,A,C,B,A
263,20382545,D,B,D,D,D,B,D,D,B,D,D,C,B,C,A,B,B,A,D,D,D,A,C,D
264,19830016,D,B,B,D,A,B,A,D,B,A,D,A,D,C,B,A,B,B,D,B,D,C,C,B
265,19967239,D,C,B,A,B,C,A,D,B,C,B,A,D,D,B,A,B,B,A,B,D,C,C,D
267,20013792,B,A,B,B,C,D,D,C,D,A,A,B,B,A,C,D,D,C,B,D,C,B,A,B
